x_TEG	rho_g_cm3	V_E_cm3_mol
0.0000	0.9967	0.0000
0.0063	1.0035	-0.0245
0.0131	1.0106	-0.0567
0.0207	1.0188	-0.1089
0.0291	1.0268	-0.1636
0.0384	1.0345	-0.2123
0.0489	1.0424	-0.2699
0.0606	1.0502	-0.3297
0.0740	1.0581	-0.3981
0.0893	1.0664	-0.4825
0.1070	1.0739	-0.5547
0.1278	1.0812	-0.6307
0.1524	1.0881	-0.7007
0.1821	1.0940	-0.7512
0.2186	1.0997	-0.8040
0.2645	1.1048	-0.8404
0.3241	1.1086	-0.8171
0.4045	1.1121	-0.7712
0.5189	1.1147	-0.6382
0.6949	1.1170	-0.4153
0.8545	1.1181	-0.1780
1.0000	1.1192	0.0000
